datenum_noUV,oxygen_noUV_umol_kg
01-Nov-2017 09:15:00,265.621208034183
01-Nov-2017 09:30:00,265.60708232591
01-Nov-2017 09:45:00,265.55349630731
01-Nov-2017 10:00:00,265.377774960788
01-Nov-2017 10:15:00,265.297858548977
01-Nov-2017 10:30:00,265.237075724032
01-Nov-2017 10:45:00,265.193905258802
01-Nov-2017 11:00:00,265.2594029903
01-Nov-2017 11:15:00,265.277644810731
01-Nov-2017 11:30:00,265.164858490068
01-Nov-2017 11:45:00,265.085914326363
01-Nov-2017 12:00:00,265.000785638624
01-Nov-2017 12:15:00,264.959466520385
01-Nov-2017 12:30:00,264.928241196116
01-Nov-2017 12:45:00,264.89279307562
01-Nov-2017 13:00:00,264.915877570719
01-Nov-2017 13:15:00,265.042998643564
01-Nov-2017 13:30:00,265.174118778469
01-Nov-2017 13:45:00,265.271760946007
01-Nov-2017 14:00:00,265.518875577312
01-Nov-2017 14:15:00,265.702103514673
01-Nov-2017 14:30:00,265.886939336719
01-Nov-2017 14:45:00,266.076406737734
01-Nov-2017 15:00:00,265.871039362063
01-Nov-2017 15:15:00,265.639157939808
01-Nov-2017 15:30:00,265.425010918799
01-Nov-2017 15:45:00,265.162571527315
01-Nov-2017 16:00:00,264.973199297782
01-Nov-2017 16:15:00,264.699433425608
01-Nov-2017 16:30:00,264.459971734025
01-Nov-2017 16:45:00,264.223682486577
01-Nov-2017 17:00:00,263.943832037946
01-Nov-2017 17:15:00,263.660314073525
01-Nov-2017 17:30:00,263.501287040635
01-Nov-2017 17:45:00,263.242199590306
01-Nov-2017 18:00:00,263.014974902643
01-Nov-2017 18:15:00,262.680908596544
01-Nov-2017 18:30:00,262.244188736171
01-Nov-2017 18:45:00,261.831773037965
01-Nov-2017 19:00:00,261.529975092271
01-Nov-2017 19:15:00,261.311359917511
01-Nov-2017 19:30:00,261.111325046508
01-Nov-2017 19:45:00,260.746650198547
01-Nov-2017 20:00:00,260.292890338047
01-Nov-2017 20:15:00,260.007146687418
01-Nov-2017 20:30:00,259.45992592996
01-Nov-2017 20:45:00,259.067723274618
01-Nov-2017 21:00:00,258.576350715105
01-Nov-2017 21:15:00,257.726727516794
01-Nov-2017 21:30:00,257.14267924296
01-Nov-2017 21:45:00,256.586521480019
01-Nov-2017 22:00:00,256.312210166086
01-Nov-2017 22:15:00,256.014402058312
01-Nov-2017 22:30:00,256.127169699756
01-Nov-2017 22:45:00,256.299788865161
01-Nov-2017 23:00:00,256.489128704609
01-Nov-2017 23:15:00,256.723726680853
01-Nov-2017 23:30:00,256.923078883312
01-Nov-2017 23:45:00,257.158011129722
02-Nov-2017 00:00:00,257.334660478344
02-Nov-2017 00:15:00,257.550024685176
02-Nov-2017 00:30:00,257.733611287099
02-Nov-2017 00:45:00,257.936894488593
02-Nov-2017 01:00:00,258.137829303673
02-Nov-2017 01:15:00,258.334627366354
02-Nov-2017 01:30:00,258.539082563569
02-Nov-2017 01:45:00,258.765174936463
02-Nov-2017 02:00:00,259.008463902223
02-Nov-2017 02:15:00,259.331116452476
02-Nov-2017 02:30:00,259.563011655942
02-Nov-2017 02:45:00,259.678689484087
02-Nov-2017 03:00:00,259.813049048475
02-Nov-2017 03:15:00,260.052263816569
02-Nov-2017 03:30:00,260.368840886366
02-Nov-2017 03:45:00,260.542424739614
02-Nov-2017 04:00:00,260.954723134582
02-Nov-2017 04:15:00,261.185462046991
02-Nov-2017 04:30:00,261.532336717103
02-Nov-2017 04:45:00,262.20759998685
02-Nov-2017 05:00:00,262.56819805358
02-Nov-2017 05:15:00,262.908786753303
02-Nov-2017 05:30:00,262.97869429789
02-Nov-2017 05:45:00,263.04207641043
02-Nov-2017 06:00:00,263.012478441463
02-Nov-2017 06:15:00,262.90680633934
02-Nov-2017 06:30:00,262.734066288817
02-Nov-2017 06:45:00,262.510753927689
02-Nov-2017 07:00:00,262.390149764066
