datetime,oxygen_uncorrected_umol_kg,oxygen_corrected_umol_kg
10-Oct-2019 10:46:33,249.778124834256,231.952880232384
10-Oct-2019 11:01:33,249.776609230745,231.950200670802
10-Oct-2019 11:16:33,249.821798846613,231.990892780926
10-Oct-2019 11:31:33,249.984489599047,232.140698385387
10-Oct-2019 11:46:33,249.961922949132,232.11846947046
10-Oct-2019 12:01:33,249.92660536231,232.084400135072
10-Oct-2019 12:16:33,249.948938767808,232.103866167923
10-Oct-2019 12:31:33,249.883524378862,232.041849366919
10-Oct-2019 12:46:33,249.801149921575,231.964084197147
10-Oct-2019 13:01:33,249.762115366702,231.926564862689
10-Oct-2019 13:16:33,249.951448131129,232.101104337183
10-Oct-2019 13:31:33,249.765897355469,231.927532633648
10-Oct-2019 13:46:33,249.701874729352,231.866810803197
10-Oct-2019 14:01:33,249.68927954138,231.853843557231
10-Oct-2019 14:16:33,249.600351548568,231.769996517119
10-Oct-2019 14:31:33,249.497086771353,231.672837827068
10-Oct-2019 14:46:33,249.354450971421,231.539122059073
10-Oct-2019 15:01:33,249.40743008842,231.587045802692
10-Oct-2019 15:16:33,249.473343883173,231.646979424228
10-Oct-2019 15:31:33,249.542855960432,231.710253516884
10-Oct-2019 15:46:33,249.527988330847,231.695177492348
10-Oct-2019 16:01:33,249.662292687806,231.81861209338
10-Oct-2019 16:16:33,249.657861378476,231.813225982054
10-Oct-2019 16:31:33,249.754430713353,231.901620885767
10-Oct-2019 16:46:33,249.839928502516,231.979734726677
10-Oct-2019 17:01:33,249.947020782359,232.077898361829
10-Oct-2019 17:16:33,249.967937107836,232.096046250966
10-Oct-2019 17:31:33,250.089817490783,232.207938870047
10-Oct-2019 17:46:33,250.098837122223,232.215039820762
10-Oct-2019 18:01:33,250.099045653746,232.213959682
10-Oct-2019 18:16:33,250.216647402144,232.321877130714
10-Oct-2019 18:31:33,250.246028240387,232.347882199299
10-Oct-2019 18:46:33,250.199736157645,232.303626783321
10-Oct-2019 19:01:33,250.215294863789,232.316798262215
10-Oct-2019 19:16:33,250.241677215961,232.340018935164
10-Oct-2019 19:31:33,250.132276773182,232.237170784651
10-Oct-2019 19:46:33,250.074387012727,232.182148978861
10-Oct-2019 20:01:33,250.162824753149,232.26298512053
10-Oct-2019 20:16:33,250.141233268747,232.241664588402
10-Oct-2019 20:31:33,250.168091419695,232.26532671451
10-Oct-2019 20:46:33,250.186812531138,232.281433880882
10-Oct-2019 21:01:33,250.167201721601,232.261952471082
10-Oct-2019 21:16:33,250.117310621532,232.214358378432
10-Oct-2019 21:31:33,250.22597614572,232.313971409538
10-Oct-2019 21:46:33,250.356848246558,232.434200178381
10-Oct-2019 22:01:33,250.448539103949,232.518051473237
10-Oct-2019 22:16:33,250.534363996642,232.596455901099
10-Oct-2019 22:31:33,250.545208184707,232.605247599624
10-Oct-2019 22:46:33,250.631925959905,232.684479613722
10-Oct-2019 23:01:33,250.68121940837,232.728966491803
10-Oct-2019 23:16:33,250.750018354232,232.791561401629
10-Oct-2019 23:31:33,250.838553232643,232.872477977041
10-Oct-2019 23:46:33,250.776283862328,232.813391380896
11-Oct-2019 00:01:33,250.766828365022,232.803336010136
11-Oct-2019 00:16:33,250.703883764438,232.743623557767
11-Oct-2019 00:31:33,250.746590663294,232.7819939002
11-Oct-2019 00:46:33,250.697573015711,232.735211286928
11-Oct-2019 01:01:33,250.637958647402,232.678591754772
11-Oct-2019 01:16:33,250.523503035502,232.571061491028
11-Oct-2019 01:31:33,250.604107310882,232.644613354876
11-Oct-2019 01:46:33,250.711975517078,232.743474325416
11-Oct-2019 02:01:33,250.472753070341,232.520121261567
11-Oct-2019 02:16:33,250.431682466404,232.480718935499
11-Oct-2019 02:31:33,250.514389145646,232.556221317585
11-Oct-2019 02:46:33,250.498517050945,232.540211210667
11-Oct-2019 03:01:33,250.459631978938,232.502838233083
11-Oct-2019 03:16:33,250.528727102561,232.565703608239
11-Oct-2019 03:31:33,250.51335487494,232.550157703143
11-Oct-2019 03:46:33,250.520717331617,232.555716322999
11-Oct-2019 04:01:33,250.333774871378,232.380904667686
11-Oct-2019 04:16:33,250.484613188755,232.519649780583
11-Oct-2019 04:31:33,250.31467541383,232.360625223402
11-Oct-2019 04:46:33,250.321467842903,232.365655566201
11-Oct-2019 05:01:33,250.43514590349,232.469903910994
11-Oct-2019 05:16:33,250.460990937261,232.492619319052
11-Oct-2019 05:31:33,250.715026722358,232.727153373636
11-Oct-2019 05:46:33,250.564328944389,232.585991469561
11-Oct-2019 06:01:33,250.667539801244,232.680520148948
11-Oct-2019 06:16:33,250.957249487836,232.948163156439
11-Oct-2019 06:31:33,250.844468686405,232.842198124301
11-Oct-2019 06:46:33,250.757014554759,232.759743154137
11-Oct-2019 07:01:33,250.983361899306,232.968566905124
11-Oct-2019 07:16:33,250.913142161745,232.902109412632
11-Oct-2019 07:31:33,251.017364152963,232.997571706755
11-Oct-2019 07:46:33,251.016020148668,232.995045754118
11-Oct-2019 08:01:33,250.980165114967,232.960486581792
11-Oct-2019 08:16:33,251.365318634097,233.316706937523
11-Oct-2019 08:31:33,251.379754214768,233.328825727157
11-Oct-2019 08:46:33,251.22301266323,233.182059892621
11-Oct-2019 09:01:33,251.230292641646,233.18753755587
11-Oct-2019 09:16:33,251.182829621961,233.142203934629
11-Oct-2019 09:31:33,251.248793191905,233.202150206386
11-Oct-2019 09:46:33,251.172230572849,233.129807681419
11-Oct-2019 10:01:33,251.172448722296,233.128730933445
11-Oct-2019 10:16:33,251.210874258184,233.163116632754
11-Oct-2019 10:31:33,251.090002332347,233.049649708581
11-Oct-2019 10:46:33,251.290625853683,233.234578970264
11-Oct-2019 11:01:33,251.211388914888,233.159756037195
11-Oct-2019 11:16:33,251.237407330996,233.182625253788
11-Oct-2019 11:31:33,251.029354585099,232.988245393694
11-Oct-2019 11:46:33,251.182807437871,233.129390535138
11-Oct-2019 12:01:33,251.22943803526,233.171390102616
11-Oct-2019 12:16:33,251.192420494445,233.135754006048
11-Oct-2019 12:31:33,251.269849000506,233.206336932023
11-Oct-2019 12:46:33,251.173490369798,233.115626184482
11-Oct-2019 13:01:33,250.962119708347,232.918173644317
11-Oct-2019 13:16:33,251.071786589061,233.018676861098
11-Oct-2019 13:31:33,251.027392505681,232.9761964079
11-Oct-2019 13:46:33,250.884946107303,232.842715464347
11-Oct-2019 14:01:33,250.914492623735,232.86885924574
11-Oct-2019 14:16:33,250.83656349617,232.795257223471
11-Oct-2019 14:31:33,250.881564762133,232.835744046692
11-Oct-2019 14:46:33,250.849015046043,232.804258038688
11-Oct-2019 15:01:33,250.891771448656,232.842660970416
11-Oct-2019 15:16:33,250.863056982698,232.814734549738
11-Oct-2019 15:31:33,250.983642893915,232.9253666688
11-Oct-2019 15:46:33,250.882212555351,232.829956493995
11-Oct-2019 16:01:33,250.831290404268,232.781420960651
11-Oct-2019 16:16:33,250.854281862604,232.801480340973
11-Oct-2019 16:31:33,250.940479050881,232.880196276355
11-Oct-2019 16:46:33,250.917462011502,232.857557853691
11-Oct-2019 17:01:33,250.99314742713,232.926517460023
11-Oct-2019 17:16:33,251.009097287227,232.940040843501
11-Oct-2019 17:31:33,250.902506597305,232.839845299992
11-Oct-2019 17:46:33,250.967297974424,232.898694115984
11-Oct-2019 18:01:33,251.064413757832,232.987539286311
11-Oct-2019 18:16:33,251.07093441854,232.992311741782
11-Oct-2019 18:31:33,251.06933873247,232.989552252755
11-Oct-2019 18:46:33,251.070531641814,232.989380551297
11-Oct-2019 19:01:33,251.167389263013,233.077983648371
11-Oct-2019 19:16:33,251.146558708412,233.05737424244
11-Oct-2019 19:31:33,251.11953157356,233.031014815992
11-Oct-2019 19:46:33,251.127470610587,233.037102994221
11-Oct-2019 20:01:33,251.204720707114,233.107508858326
11-Oct-2019 20:16:33,251.223741337991,233.123879725356
11-Oct-2019 20:31:33,251.209150620373,233.109060807917
11-Oct-2019 20:46:33,251.366140632571,233.253459182099
11-Oct-2019 21:01:33,251.089132344384,232.995132466508
11-Oct-2019 21:16:33,251.079347247855,232.98477374981
11-Oct-2019 21:31:33,251.006153639345,232.915576614619
11-Oct-2019 21:46:33,251.043906947381,232.949330384531
11-Oct-2019 22:01:33,250.961007544348,232.871127996714
11-Oct-2019 22:16:33,251.130234409341,233.026877565742
11-Oct-2019 22:31:33,251.116649564645,233.012993075932
11-Oct-2019 22:46:33,251.077222820104,232.97512996504
11-Oct-2019 23:01:33,251.146705546727,233.038324048742
11-Oct-2019 23:16:33,251.051137552553,232.948368164149
11-Oct-2019 23:31:33,251.143014177284,233.032340681544
11-Oct-2019 23:46:33,251.195211680507,233.079494703822
12-Oct-2019 00:01:33,251.05173264095,232.945084503622
12-Oct-2019 00:16:33,251.07217094038,232.962770010174
12-Oct-2019 00:31:33,251.137867656077,233.02244908311
12-Oct-2019 00:46:33,251.204242616821,233.082756802932
12-Oct-2019 01:01:33,251.141374444407,233.023144770189
12-Oct-2019 01:16:33,251.227356185895,233.101643981326
12-Oct-2019 01:31:33,251.158258203057,233.036252167742
12-Oct-2019 01:46:33,251.321778898275,233.18669424663
12-Oct-2019 02:01:33,251.413369656129,233.270395467315
12-Oct-2019 02:16:33,251.529668177536,233.377020382282
12-Oct-2019 02:31:33,251.746890790148,233.577284100658
12-Oct-2019 02:46:33,251.799768441755,233.625062931554
12-Oct-2019 03:01:33,251.743699578687,233.571758937578
12-Oct-2019 03:16:33,251.631133989453,233.466037249608
12-Oct-2019 03:31:33,251.847462647603,233.665466610047
12-Oct-2019 03:46:33,251.944856569924,233.754546066573
12-Oct-2019 04:01:33,251.95592083231,233.763528276595
12-Oct-2019 04:16:33,252.195020399161,233.984079303085
12-Oct-2019 04:31:33,252.013568309768,233.814446312555
12-Oct-2019 04:46:33,251.835229326344,233.647703446516
12-Oct-2019 05:01:33,251.853583453962,233.663449343931
12-Oct-2019 05:16:33,252.057746050025,233.8515825532
12-Oct-2019 05:31:33,252.053873165023,233.84670568952
12-Oct-2019 05:46:33,251.834729949074,233.642109732284
12-Oct-2019 06:01:33,251.687617186905,233.504342588659
12-Oct-2019 06:16:33,251.684447581842,233.500120138265
12-Oct-2019 06:31:33,251.625050744828,233.443733218829
12-Oct-2019 06:46:33,251.700380191556,233.512337775745
12-Oct-2019 07:01:33,251.649885077728,233.464209813399
12-Oct-2019 07:16:33,251.626320889347,233.441066969357
12-Oct-2019 07:31:33,251.542877758253,233.362373232474
12-Oct-2019 07:46:33,251.526039627409,233.345471064415
12-Oct-2019 08:01:33,251.503257073374,233.323054344159
12-Oct-2019 08:16:33,251.502149150422,233.320745582477
12-Oct-2019 08:31:33,251.500635007762,233.318060017574
12-Oct-2019 08:46:33,251.530791464009,233.344755220291
12-Oct-2019 09:01:33,251.463806209908,233.281332384928
12-Oct-2019 09:16:33,251.403666343644,233.224260617229
12-Oct-2019 09:31:33,251.251116329566,233.081462109357
12-Oct-2019 09:46:33,251.212266463969,233.044142309749
12-Oct-2019 10:01:33,251.122803436625,232.959870432764
12-Oct-2019 10:16:33,251.048568737105,232.889726302475
12-Oct-2019 10:31:33,251.091229961048,232.928022941745
12-Oct-2019 10:46:33,251.096206730402,232.931360864463
12-Oct-2019 11:01:33,250.931715948709,232.777491702713
12-Oct-2019 11:16:33,250.887459898,232.735159679305
12-Oct-2019 11:31:33,250.942137315273,232.784603002174
12-Oct-2019 11:46:33,250.671229850525,232.532021036193
12-Oct-2019 12:01:33,250.156957985388,232.053689136784
12-Oct-2019 12:16:33,250.217972092382,232.109013429442
12-Oct-2019 12:31:33,250.020714897515,231.924758914283
12-Oct-2019 12:46:33,250.178826264145,232.070152357237
12-Oct-2019 13:01:33,250.205762405473,232.093864475413
12-Oct-2019 13:16:33,250.091187235649,231.986309451387
12-Oct-2019 13:31:33,249.876152546945,231.785569168019
12-Oct-2019 13:46:33,249.953380147753,231.855932609837
12-Oct-2019 14:01:33,250.034559306859,231.929960697355
12-Oct-2019 14:16:33,250.025093045691,231.919906487844
12-Oct-2019 14:31:33,249.97926680292,231.876125533889
12-Oct-2019 14:46:33,250.010456212567,231.903782939166
12-Oct-2019 15:01:33,250.050682632704,231.939822500636
12-Oct-2019 15:16:33,250.102601813289,231.986707459719
12-Oct-2019 15:31:33,250.140384076936,232.020479037756
12-Oct-2019 15:46:33,250.144475041227,232.022999649721
12-Oct-2019 16:01:33,250.251837024291,232.121309371725
