time,partial_pressure_of_carbon_dioxide_in_sea_water,pCO2_weekly_std
2015-10-06 18:05:00,580.6105908602,11.788613008940752
2015-10-06 19:05:00,583.3047101482,11.578793886245421
2015-10-06 20:05:00,580.3069389583,11.377813104586657
2015-10-06 21:05:00,581.5540929849,11.254585200674452
2015-10-06 22:05:00,580.9019891732,11.250212037394313
2015-10-06 23:05:00,581.4140092658,11.261077867047039
2015-10-07 00:05:00,581.3357524781,11.250201504688834
2015-10-07 01:05:00,581.6553077945,11.268322860184059
2015-10-07 02:05:00,578.7236217984,11.280234841019574
2015-10-07 03:05:00,575.1968264589,11.29734359038481
2015-10-07 04:05:00,572.3721155678,11.327209994044107
2015-10-07 05:05:00,574.0380401358,11.333014669408941
2015-10-07 06:05:00,572.2039809345,11.333745071006135
2015-10-07 07:05:00,570.7087202771,11.329037967728752
2015-10-07 08:05:00,569.4497920468,11.333702340706779
2015-10-07 09:05:00,565.0228680613,11.356977519959841
2015-10-07 10:05:00,563.7490928334,11.398689253326193
2015-10-07 11:05:00,561.0583753039,11.454281803207085
2015-10-07 12:05:00,560.5159415856,11.477498226197367
2015-10-07 13:05:00,562.1011735789,11.451033906748005
2015-10-07 14:05:00,561.9126172761,11.377550671706368
2015-10-07 15:05:00,560.7011409594,11.292060434467475
2015-10-07 16:05:00,558.4894955105,11.142494936278911
2015-10-07 17:05:00,558.7849497126,10.976610332976659
2015-10-07 18:05:00,554.8373434892,10.803821391971711
2015-10-07 19:05:00,556.619153519,10.612179332516199
2015-10-07 20:05:00,555.3774091556,10.441956276843497
2015-10-07 21:05:00,557.1553374325,10.261407999847096
2015-10-07 22:05:00,561.1506227669,10.096301724365084
2015-10-07 23:05:00,563.1498256441,9.988876513885682
2015-10-08 00:05:00,562.0057462834,10.03082627365599
2015-10-08 01:05:00,565.4119494381,10.075129694313828
2015-10-08 02:05:00,567.2140824513,10.121784838740412
2015-10-08 03:05:00,567.8991270546,10.165087800483343
2015-10-08 04:05:00,567.6924089105,10.229798819162118
2015-10-08 05:05:00,566.8984935698,10.257402094868098
2015-10-08 06:05:00,568.9646681707,10.282174016281045
2015-10-08 07:05:00,564.7440541349,10.298185609498686
2015-10-08 08:05:00,561.6896812861,10.38035444586651
2015-10-08 09:05:00,562.182449609,10.386114999113767
2015-10-08 10:05:00,564.743522152,10.392807743072188
2015-10-08 11:05:00,566.5859834002,10.429816488268864
2015-10-08 12:05:00,564.6640367142,10.523520085227865
2015-10-08 13:05:00,561.5698311508,10.545976258438293
2015-10-08 14:05:00,557.6487397253,10.560425560956466
2015-10-08 15:05:00,553.8262174076,10.57506820896686
2015-10-08 16:05:00,553.8386364869,10.596654556970998
2015-10-08 17:05:00,553.3458209981,10.630686260903259
2015-10-08 18:05:00,553.1611933671,10.669856852339079
2015-10-08 19:05:00,550.3419722179,10.699468565452472
2015-10-08 20:05:00,545.5611175398,10.720129491379803
2015-10-08 21:05:00,546.7400265515,10.730461588229796
2015-10-08 22:05:00,546.3118795518,10.749675976240827
2015-10-08 23:05:00,546.0029688381,10.766824101572682
2015-10-09 00:05:00,545.1972701102,10.787931805023172
2015-10-09 01:05:00,545.3446433409,10.804155336829124
2015-10-09 02:05:00,546.3194709068,10.8126573908213
2015-10-09 03:05:00,546.9997647512,10.822144703623826
2015-10-09 04:05:00,546.8719754928,10.824111888151728
2015-10-09 05:05:00,552.4219886983,10.812765221543172
2015-10-09 06:05:00,553.1177296282,10.808927205906421
2015-10-09 07:05:00,551.423083995,10.83763810408757
2015-10-09 08:05:00,551.6140305272,10.829043554353678
2015-10-09 09:05:00,551.3028384937,10.812315278557927
2015-10-09 10:05:00,555.9023850101,10.802763003185063
