time,surface_partial_pressure_of_carbon_dioxide_in_sea_water,pmel_nh10_pco2_seawater,ooi_pmel_pco2_difference
2015-08-12 09:14:00,274.1771664336,273.8,0.3771664335999958
2015-08-12 12:14:00,268.3199379061,265.6,2.7199379060999718
2015-08-12 15:14:00,281.1324944486,278.3,2.8324944486000163
2015-08-12 18:14:00,266.6285090605,274.7,-8.071490939499995
2015-08-12 21:14:00,266.8556384845,277.6,-10.744361515500032
2015-08-13 00:14:00,262.2744023631,269.9,-7.625597636899954
2015-08-13 03:14:00,253.2968702881,259.2,-5.903129711899993
2015-08-13 06:15:00,256.5976591414,264.3,-7.702340858599996
2015-08-13 09:15:00,251.4795367629,261.8,-10.3204632371
2015-08-13 12:15:00,243.4786654947,256.7,-13.221334505299978
2015-08-13 15:15:00,237.8310587836,250.1,-12.26894121639998
2015-08-13 18:15:00,237.1622409326,250.5,-13.337759067399986
2015-08-13 21:15:00,235.594503043,249.3,-13.705496957000008
2015-08-14 00:15:00,234.0753068715,247.5,-13.424693128499996
2015-08-14 03:15:00,235.3700576733,246.6,-11.229942326699984
2015-08-14 06:15:00,237.5214316556,251.4,-13.878568344400009
2015-08-14 09:15:00,242.9150963278,256.8,-13.88490367220001
2015-08-14 12:15:00,241.1403769841,254.7,-13.559623015900002
2015-08-14 15:15:00,240.1835126538,255.7,-15.516487346199995
2015-08-14 18:15:00,233.7842911776,247.1,-13.315708822399984
2015-08-14 21:15:00,233.384454802,250.3,-16.915545198000018
2015-08-15 00:15:00,240.8034720509,254.3,-13.496527949099999
2015-08-15 03:15:00,237.9850076761,256.0,-18.014992323900003
2015-08-15 06:15:00,236.7693289607,248.4,-11.630671039300012
2015-08-15 09:15:00,238.200760068,251.2,-12.999239931999995
2015-08-15 12:15:00,241.2510760205,254.9,-13.648923979500012
2015-08-15 15:15:00,249.7138625024,264.5,-14.78613749760001
2015-08-15 18:15:00,258.180481879,274.3,-16.119518121
2015-08-15 21:15:00,257.4360658771,272.8,-15.363934122899991
2015-08-16 00:15:00,255.4828230803,267.3,-11.817176919700017
2015-08-16 03:15:00,244.2004773556,262.4,-18.19952264439999
2015-08-16 06:15:00,245.9818412973,261.5,-15.518158702699992
2015-08-16 09:15:00,264.368019574,279.4,-15.031980425999961
2015-08-16 12:15:00,270.3961091921,288.4,-18.00389080789995
2015-08-16 15:15:00,273.4232221674,293.5,-20.076777832599987
2015-08-16 18:15:00,276.2030457549,296.6,-20.396954245100005
2015-08-16 21:15:00,280.1326829235,299.9,-19.767317076499978
2015-08-17 00:15:00,287.6942731036,,
2015-08-17 03:15:00,285.5494249801,308.4,-22.850575019899964
2015-08-17 06:15:00,294.490867533,316.6,-22.109132466999995
2015-08-17 09:15:00,307.7448871892,336.6,-28.855112810799994
2015-08-17 12:15:00,329.0614565343,364.4,-35.338543465699956
2015-08-17 15:15:00,373.2273487403,389.4,-16.17265125969999
2015-08-17 18:15:00,330.3460228363,348.8,-18.453977163700017
2015-08-17 21:15:00,307.9727396716,342.0,-34.02726032840002
2015-08-18 00:15:00,317.1611734792,355.1,-37.938826520800035
2015-08-18 03:15:00,440.4442559695,455.7,-15.255744030500011
2015-08-18 06:15:00,351.2111364696,373.1,-21.888863530400045
2015-08-18 09:15:00,358.0073196809,394.7,-36.69268031909996
2015-08-18 12:15:00,407.1063067138,431.8,-24.693693286200016
2015-08-18 15:15:00,410.3130876991,431.7,-21.386912300900008
2015-08-18 18:15:00,438.3486717658,472.0,-33.65132823419998
2015-08-18 21:15:00,337.0428420649,384.4,-47.35715793509996
2015-08-19 00:15:00,380.2306179236,404.8,-24.569382076400018
2015-08-19 03:15:00,344.521242838,374.4,-29.878757162
2015-08-19 06:15:00,344.824224854,371.1,-26.275775146
2015-08-19 09:15:00,384.2845560216,408.4,-24.11544397839998
2015-08-19 12:15:00,363.4184657455,384.8,-21.381534254500025
2015-08-19 15:15:00,367.4702209612,393.9,-26.42977903879995
2015-08-19 18:15:00,339.5326781259,361.6,-22.067321874100003
2015-08-19 21:15:00,296.0416940812,325.3,-29.258305918800033
2015-08-20 00:15:00,296.3301086986,336.9,-40.56989130139999
2015-08-20 03:15:00,288.742868794,,
2015-08-20 06:15:00,286.9667975711,308.6,-21.633202428900006
2015-08-20 09:15:00,282.7176131535,310.2,-27.482386846499992
2015-08-20 12:15:00,285.4569146311,310.4,-24.943085368899972
2015-08-20 15:15:00,287.246631439,314.1,-26.853368561000025
2015-08-20 18:15:00,297.7532177811,319.0,-21.246782218900023
2015-08-20 21:15:00,299.1865284974,327.6,-28.413471502600032
2015-08-21 00:15:00,309.9615853826,328.8,-18.83841461740002
2015-08-21 03:15:00,295.7038544836,317.2,-21.496145516399963
2015-08-21 06:15:00,293.4843291663,309.4,-15.915670833700005
2015-08-21 09:15:00,288.4149087096,303.4,-14.985091290399964
2015-08-21 12:15:00,286.9969055843,305.0,-18.00309441569999
2015-08-21 15:15:00,287.0159552595,306.4,-19.384044740499974
2015-08-21 18:15:00,290.8122618362,319.1,-28.287738163800043
2015-08-21 21:15:00,304.2138402281,325.8,-21.586159771899986
2015-08-22 00:15:00,299.9643885188,320.7,-20.73561148120001
2015-08-22 03:15:00,292.2754269814,314.0,-21.724573018599983
2015-08-22 06:16:00,289.8972057735,,
2015-08-22 09:16:00,305.013662719,324.8,-19.786337280999987
2015-08-22 12:16:00,308.0936343449,,
2015-08-22 15:16:00,310.6511226252,324.4,-13.748877374799974
2015-08-22 18:16:00,298.8984702689,328.8,-29.901529731100027
2015-08-22 21:16:00,299.1856546591,338.7,-39.51434534089998
2015-08-23 00:16:00,302.8509900074,337.6,-34.74900999260001
2015-08-23 03:16:00,309.2323587466,338.6,-29.367641253399995
2015-08-23 06:16:00,310.6956328645,,
2015-08-23 09:16:00,321.0801505058,340.6,-19.519849494200002
2015-08-23 12:16:00,330.3651256271,350.9,-20.534874372899992
2015-08-23 15:16:00,350.2704272555,369.9,-19.629572744499967
2015-08-23 18:16:00,327.6495056572,345.9,-18.250494342799982
2015-08-23 21:16:00,314.7355398118,330.4,-15.664460188199996
2015-08-24 00:16:00,285.8459371659,302.4,-16.554062834099966
2015-08-24 03:16:00,283.2274138498,304.0,-20.772586150200027
2015-08-24 06:16:00,301.1432409463,316.9,-15.756759053699966
2015-08-24 09:16:00,335.9718212846,356.3,-20.328178715399986
2015-08-24 12:16:00,367.5040196562,392.4,-24.895980343799977
2015-08-24 15:16:00,389.3592948982,408.3,-18.940705101800006
2015-08-24 18:16:00,370.1798976067,398.9,-28.720102393299953
2015-08-24 21:16:00,357.6509238698,382.9,-25.249076130199967
2015-08-25 00:16:00,355.8806987965,367.3,-11.419301203500027
2015-08-25 03:16:00,325.9439955314,353.0,-27.05600446860001
2015-08-25 06:16:00,356.9360179017,379.2,-22.263982098300005
2015-08-25 09:16:00,370.1786022699,384.7,-14.521397730099977
2015-08-25 12:16:00,378.6099494202,401.0,-22.390050579800004
2015-08-25 15:16:00,364.4388861474,380.1,-15.66111385260001
2015-08-25 18:16:00,337.393079886,361.0,-23.60692011399999
2015-08-25 21:16:00,327.6600392028,341.4,-13.739960797199956
2015-08-26 00:16:00,324.7381637744,335.3,-10.561836225600018
2015-08-26 03:16:00,304.790686597,325.5,-20.70931340300001
2015-08-26 06:16:00,275.9967822189,300.8,-24.80321778109999
2015-08-26 09:16:00,310.2320777476,337.0,-26.767922252400012
2015-08-26 12:16:00,331.376010911,356.0,-24.62398908900002
2015-08-26 15:16:00,333.2337568879,357.2,-23.966243112100017
2015-08-26 18:16:00,280.7839254873,307.3,-26.516074512700015
2015-08-26 21:16:00,311.4307508841,338.2,-26.76924911589998
2015-08-27 00:16:00,300.8041539874,327.8,-26.995846012599998
2015-08-27 03:16:00,278.7072607396,301.3,-22.592739260400037
2015-08-27 06:16:00,275.9124139869,297.4,-21.487586013099985
2015-08-27 09:16:00,309.3968082627,333.2,-23.803191737299983
2015-08-27 12:16:00,305.1172862352,332.3,-27.182713764799985
2015-08-27 15:16:00,289.5553019711,307.9,-18.344698028899984
2015-08-27 18:16:00,270.9179722839,298.3,-27.382027716100026
2015-08-27 21:16:00,304.3911608685,338.3,-33.90883913150003
2015-08-28 00:16:00,287.1092640568,314.3,-27.190735943200025
2015-08-28 03:16:00,275.8637291992,306.4,-30.53627080079997
2015-08-28 06:16:00,273.0008018752,304.9,-31.899198124799966
2015-08-28 09:16:00,318.0072922664,342.4,-24.39270773359999
2015-08-28 12:16:00,282.4713689448,310.0,-27.52863105519998
2015-08-28 15:16:00,275.2164274748,305.3,-30.083572525199997
2015-08-28 18:16:00,277.3889779861,304.0,-26.611022013900026
2015-08-28 21:16:00,300.5877505003,326.7,-26.1122494997
2015-08-29 00:16:00,278.5456794693,306.5,-27.954320530699988
2015-08-29 03:16:00,265.2458124298,292.9,-27.65418757019995
2015-08-29 06:16:00,245.9410330482,269.9,-23.958966951799965
2015-08-29 09:16:00,279.5006990706,306.3,-26.799300929400033
2015-08-29 12:16:00,286.6058612276,,
2015-08-29 15:16:00,328.5397168079,,
2015-08-29 18:16:00,326.6339165776,,
2015-08-29 21:16:00,341.464141788,,
2015-08-30 00:16:00,340.7095224388,,
2015-08-30 03:16:00,333.7978383639,,
2015-08-30 06:16:00,326.867532966,334.0,-7.132467034000001
2015-08-30 09:16:00,329.9826020506,,
2015-08-30 12:16:00,335.2015756504,,
2015-08-30 15:16:00,331.8209351098,337.9,-6.079064890199959
2015-08-30 18:16:00,336.5385859583,342.9,-6.361414041699959
2015-08-30 21:16:00,335.9882391644,341.2,-5.211760835599989
2015-08-31 00:16:00,337.8169805631,343.7,-5.8830194368999855
2015-08-31 03:16:00,302.1255894125,311.4,-9.274410587499972
2015-08-31 06:17:00,324.0468788552,327.8,-3.753121144799991
2015-08-31 09:17:00,332.2385886997,335.9,-3.66141130029996
2015-08-31 12:17:00,352.242906489,358.3,-6.057093511000005
2015-08-31 15:17:00,335.0372409326,343.5,-8.462759067399986
2015-08-31 18:17:00,326.334238013,339.2,-12.865761986999985
2015-08-31 21:17:00,323.3988403652,337.0,-13.601159634800013
2015-09-01 00:17:00,312.3515605724,319.1,-6.748439427600033
2015-09-01 03:17:00,308.5189288798,317.9,-9.381071120199977
2015-09-01 06:17:00,314.4066555638,331.3,-16.89334443620004
2015-09-01 09:17:00,318.0321366889,330.4,-12.367863311099995
2015-09-01 12:17:00,322.2968171725,325.6,-3.3031828274999953
2015-09-01 15:17:00,325.1287318036,327.6,-2.4712681964000467
2015-09-01 18:17:00,317.6143332981,325.5,-7.885666701899993
2015-09-01 21:17:00,320.4363170139,330.8,-10.363682986100002
2015-09-02 00:17:00,319.3750034268,335.7,-16.324996573199996
2015-09-02 03:17:00,305.945164076,317.5,-11.554835923999974
2015-09-02 06:17:00,308.485158456,314.9,-6.414841543999955
