depth,oxygen_umol_kg,oxygen_gain_corr_umol_kg
688.542153513562,282.560808916971,285.668977815057
690.466611541498,282.828320822329,285.939432351374
692.515896286012,283.127299564716,286.241699859928
694.56523991609,283.523823931638,286.642585994886
696.455171116686,283.715114825393,286.835981088472
698.432229713881,283.474612802615,286.592833543443
700.285444576699,282.98316472392,286.095979535883
702.269550930704,282.667093791498,285.776431823205
704.181353922856,282.423366946557,285.530023982969
706.091376094601,282.211073044115,285.3153948476
708.005019682313,282.090038210675,285.193028630993
709.987352546714,282.061804005039,285.164483849094
711.826778374534,282.024931229559,285.127205473085
713.785241974984,282.058848536502,285.161495870404
715.870190750727,281.922044764269,285.023187256676
717.951404162873,281.923690145948,285.024850737553
720.033177825857,281.812810311106,284.912751224528
722.024570116596,281.777460983884,284.877013054707
723.889317664513,281.786984676878,284.886641508324
725.874434978576,281.73746217518,284.836574259107
727.758286094793,281.756426540481,284.855747232426
729.808149414211,281.735231610682,284.834319158399
731.733070974496,281.751043211953,284.850304687285
733.782459436621,281.651912459738,284.750083496795
735.83551641794,281.514200480746,284.610856686034
