,time,chlora,depth,chlora_dark,chlora_corr
2373,2018-06-26 21:28:25.373296640,0.4046,64.7083481879651,0.3689,0.11016990565863179
2372,2018-06-26 21:28:24.244579840,0.4284,64.77907952029518,0.3927,0.11727764150757576
2371,2018-06-26 21:28:23.115898880,0.4284,64.84915172014708,0.3927,0.11727764150757576
2370,2018-06-26 21:28:21.987241984,0.3927,64.9137386752259,0.357,0.10661603773415979
2369,2018-06-26 21:28:20.858534400,0.4046,64.96645927359454,0.3689,0.11016990565863179
2368,2018-06-26 21:28:19.729863680,0.4046,65.01023282537255,0.3689,0.11016990565863179
2367,2018-06-26 21:28:18.601199616,0.4046,65.0469259982293,0.3689,0.11016990565863179
2366,2018-06-26 21:28:17.472489984,0.4046,65.08413215192854,0.3689,0.11016990565863179
2365,2018-06-26 21:28:16.343812608,0.4403,65.12301227041486,0.4046,0.12083150943204776
2364,2018-06-26 21:28:15.215114752,0.4165,65.1750305073843,0.38079999999999997,0.11372377358310376
2363,2018-06-26 21:28:14.086398464,0.4641,65.23259390159342,0.4284,0.12793924528099174
2362,2018-06-26 21:28:12.957712896,0.4403,65.29851722932732,0.4046,0.12083150943204776
2361,2018-06-26 21:28:11.829036032,0.3808,65.36251547564568,0.3451,0.1030621698096878
2360,2018-06-26 21:28:10.700607488,0.4165,65.42331245143481,0.38079999999999997,0.11372377358310376
2359,2018-06-26 21:28:09.572207616,0.4046,65.4732464951196,0.3689,0.11016990565863179
2358,2018-06-26 21:28:08.443783168,0.4165,65.50953571397882,0.38079999999999997,0.11372377358310376
2357,2018-06-26 21:28:07.315362304,0.4046,65.53329611220015,0.3689,0.11016990565863179
2356,2018-06-26 21:28:06.186977280,0.4165,65.55444570013195,0.38079999999999997,0.11372377358310376
2355,2018-06-26 21:28:05.058539520,0.4046,65.58038122484756,0.3689,0.11016990565863179
2354,2018-06-26 21:28:03.930127360,0.4046,65.61933761351158,0.3689,0.11016990565863179
2353,2018-06-26 21:28:02.801757184,0.4046,65.67697872866462,0.3689,0.11016990565863179
2352,2018-06-26 21:28:01.673070080,0.4284,65.74693496704835,0.3927,0.11727764150757576
2351,2018-06-26 21:28:00.544384000,0.4403,65.82189646729599,0.4046,0.12083150943204776
2350,2018-06-26 21:27:59.415642112,0.3927,65.88867630635606,0.357,0.10661603773415979
2349,2018-06-26 21:27:58.286951936,0.4046,65.94087220770461,0.3689,0.11016990565863179
2348,2018-06-26 21:27:57.158276096,0.3927,65.97872235815626,0.357,0.10661603773415979
2347,2018-06-26 21:27:56.029574144,0.3927,66.01024114410718,0.357,0.10661603773415979
2346,2018-06-26 21:27:54.900917248,0.4046,66.04524214221654,0.3689,0.11016990565863179
2345,2018-06-26 21:27:53.772224000,0.4046,66.09576429779506,0.3689,0.11016990565863179
2344,2018-06-26 21:27:52.643558912,0.3927,66.16243288627858,0.357,0.10661603773415979
2343,2018-06-26 21:27:51.514797568,0.3808,66.23606606036695,0.3451,0.1030621698096878
2342,2018-06-26 21:27:50.386152960,0.4284,66.30553261791036,0.3927,0.11727764150757576
2341,2018-06-26 21:27:49.257440256,0.4284,66.36035447228122,0.3927,0.11727764150757576
2340,2018-06-26 21:27:48.128714240,0.4046,66.39579480715723,0.3689,0.11016990565863179
2339,2018-06-26 21:27:46.000000512,0.3808,66.4304072373043,0.3451,0.1030621698096878
2338,2018-06-26 21:27:45.871307776,0.357,66.43218488440895,0.3213,0.0959544339607438
2337,2018-06-26 21:27:44.742636544,0.3927,66.45432471128188,0.357,0.10661603773415979
2336,2018-06-26 21:27:43.613917696,0.3451,66.49192411519238,0.3094,0.09240056603627182
2335,2018-06-26 21:27:42.485182976,0.3808,66.54691060897974,0.3451,0.1030621698096878
2334,2018-06-26 21:27:41.356467712,0.4165,66.6113430972152,0.38079999999999997,0.11372377358310376
2333,2018-06-26 21:27:40.227773440,0.3689,66.67792039269355,0.3332,0.0995083018852158
2332,2018-06-26 21:27:39.099025920,0.357,66.74699575855053,0.3213,0.0959544339607438
2331,2018-06-26 21:27:37.970351104,0.357,66.81084378657282,0.3213,0.0959544339607438
2330,2018-06-26 21:27:36.841600512,0.357,66.86922051480447,0.3213,0.0959544339607438
2329,2018-06-26 21:27:35.712922624,0.3451,66.92189867749391,0.3094,0.09240056603627182
2328,2018-06-26 21:27:34.584210432,0.3927,66.97104132532716,0.357,0.10661603773415979
